año,mes,cod_depto,cod_muni,obj_tra,clase_suelo,modalidad,destino,tipo_vivi,VIS_NVIS,estrato,area,unidades,licencias,cobertura
2005,01,25,290,1,1,1,1,1,2,4,637,5,3,77
2005,01,25,290,1,1,1,1,2,2,4,368,4,1,77
2005,01,25,290,1,1,1,5,0,0,0,150,0,0,77
2005,01,25,290,1,2,1,1,1,2,3,166,1,1,77
2005,01,25,290,1,2,1,1,1,2,6,134,1,1,77
2005,01,25,290,1,3,1,1,1,2,3,48,1,1,77
2005,01,25,290,1,3,1,10,0,0,0,908,0,1,77
2005,01,25,290,2,1,2,1,1,2,3,135,1,1,77
2005,01,25,307,1,1,1,1,1,2,2,60,1,1,77
2005,01,25,307,1,1,1,1,1,2,3,531,2,2,77
2005,01,25,307,1,1,1,1,1,2,6,470,1,1,77
2005,01,25,307,1,1,2,1,1,2,6,20,0,1,77
2005,01,25,307,2,1,2,1,1,2,2,153,0,2,77
2005,01,25,307,2,1,2,1,1,2,3,184,0,2,77
2005,01,25,754,1,1,1,1,1,1,1,209,4,4,77
2005,01,25,754,1,1,1,1,1,1,2,108,2,2,77
2005,01,25,754,1,1,1,1,1,2,2,500,4,4,77
2005,01,25,754,1,1,1,1,1,2,3,383,2,2,77
2005,01,25,754,1,1,1,7,0,0,0,1279,0,2,77
2005,01,25,754,2,1,2,1,1,2,3,19,0,1,77
2005,01,25,899,1,1,1,1,1,1,1,66,1,1,77
2005,01,25,899,1,1,1,1,1,2,2,98,2,1,77
2005,01,25,899,1,1,1,1,1,2,3,158,2,1,77
2005,01,27,001,1,1,1,1,1,2,3,1087,6,6,77
2005,01,41,001,1,1,1,1,1,1,2,62,1,1,77
2005,01,41,001,1,1,1,1,1,2,2,290,2,2,77
2005,01,41,001,1,1,1,1,1,2,3,419,4,3,77
2005,01,41,001,1,1,1,1,1,2,4,97,1,0,77
2005,01,41,001,1,1,1,1,1,2,5,233,1,1,77
2005,01,41,001,1,1,1,1,2,2,2,207,3,1,77
2005,01,41,001,1,1,1,1,2,2,4,394,11,1,77
2005,01,41,001,1,1,1,5,0,0,0,361,0,3,77
2005,01,41,001,1,1,1,10,0,0,0,278,0,1,77
2005,01,41,001,1,1,2,1,1,2,2,53,0,2,77
2005,01,41,001,1,1,2,1,1,2,3,364,0,5,77
2005,01,41,001,1,1,2,4,0,0,0,71,0,1,77
2005,01,41,001,1,1,2,7,0,0,0,1235,0,1,77
2005,01,41,001,1,1,2,8,0,0,0,165,0,1,77
2005,01,41,001,2,1,2,1,1,2,3,188,1,4,77
2005,01,41,001,2,1,2,1,1,2,4,37,0,1,77
2005,01,41,298,1,1,1,1,1,2,2,140,1,1,77
2005,01,41,298,1,1,1,1,1,2,4,105,1,1,77
2005,01,41,298,1,1,2,1,1,2,1,75,1,1,77
2005,01,41,551,1,1,1,1,1,2,1,630,6,6,77
2005,01,41,551,1,1,1,1,1,2,2,706,6,4,77
2005,01,41,551,1,1,1,1,1,2,3,559,2,2,77
2005,01,41,551,1,1,1,5,0,0,0,399,0,1,77
2005,01,41,551,1,1,2,1,1,2,3,145,0,1,77
2005,01,41,551,2,1,2,1,1,2,1,52,0,1,77
2005,01,41,551,2,1,2,1,1,2,2,101,0,1,77
2005,01,44,001,1,1,1,1,1,2,3,198,1,1,77
2005,01,44,001,1,1,1,5,0,0,0,1448,0,7,77
2005,01,47,001,1,1,1,1,1,1,3,6808,164,1,77
2005,01,47,001,1,1,1,5,0,0,0,1181,0,1,77
2005,01,47,001,1,1,1,7,0,0,0,991,0,2,77
2005,01,47,001,2,1,2,5,0,0,0,334,0,1,77
2005,01,47,001,2,1,2,6,0,0,0,1019,0,1,77
2005,01,50,001,1,1,1,1,1,2,2,236,2,2,77
2005,01,50,001,1,1,1,1,1,2,3,7488,82,5,77
2005,01,50,001,1,1,1,1,1,2,4,1342,10,1,77
2005,01,50,001,1,1,1,1,1,2,5,486,3,2,77
2005,01,50,001,1,1,1,1,2,2,5,4812,35,1,77
2005,01,50,001,1,1,1,5,0,0,0,548,0,2,77
2005,01,50,001,1,1,1,11,0,0,0,178,0,1,77
2005,01,50,001,1,1,2,1,1,2,5,104,0,1,77
2005,01,50,001,1,1,2,5,0,0,0,267,0,2,77
2005,01,50,001,1,3,1,5,0,0,0,489,0,1,77
2005,01,50,001,2,1,2,5,0,0,0,657,0,1,77
2005,01,52,001,1,1,1,1,1,1,1,115,1,1,77
2005,01,52,001,1,1,1,1,1,2,1,203,1,1,77
2005,01,52,001,1,1,1,1,1,2,2,895,7,7,77
2005,01,52,001,1,1,1,1,1,2,3,799,7,4,77
2005,01,52,001,1,1,1,1,1,2,4,381,2,2,77
2005,01,52,001,1,1,1,1,2,2,2,8209,75,3,77
2005,01,52,001,1,1,1,1,2,2,3,765,1,1,77
2005,01,52,001,1,1,1,1,2,2,4,267,2,1,77
2005,01,52,001,1,1,1,4,0,0,0,80,0,0,77
2005,01,52,001,1,1,1,5,0,0,0,1077,0,2,77
2005,01,52,001,1,1,1,8,0,0,0,3349,0,1,77
2005,01,52,001,1,1,1,11,0,0,0,347,0,1,77
2005,01,52,001,1,1,2,1,1,2,1,178,1,2,77
2005,01,52,001,1,1,2,1,1,2,2,392,0,4,77
2005,01,52,001,1,1,2,1,1,2,3,263,0,2,77
2005,01,52,001,1,1,2,1,1,2,4,41,0,1,77
2005,01,52,001,1,1,2,1,2,2,2,126,2,2,77
2005,01,52,001,1,2,1,1,1,1,3,87,1,1,77
2005,01,52,001,1,3,1,1,1,2,1,122,1,1,77
2005,01,52,001,1,3,2,1,1,2,4,292,1,1,77
2005,01,52,001,1,3,2,5,0,0,0,420,0,1,77
2005,01,52,356,1,1,1,1,1,2,2,481,4,4,77
2005,01,52,356,1,1,1,1,1,2,3,442,4,3,77
2005,01,52,356,1,1,1,1,2,2,2,315,3,2,77
2005,01,52,356,1,1,1,1,2,2,3,825,7,3,77
2005,01,52,356,1,1,1,1,2,2,4,291,3,1,77
2005,01,52,356,1,1,1,5,0,0,0,1432,0,1,77
